clave,valor,subcategoria,uso,grupo,grupo_nombre,tipo_de_regla
"name/brand","av villas","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","baloto","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","banagrario","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","banco agrario","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","banco caja social","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","banco de bogota","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","banco popular","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","bancolombia","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","bancoomeva","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"amenity","bank","banco","Banco / Cajero","comercio","Comercio y economía","etiqueta OSM"
"name/brand","bbva","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"amenity","bureau_de_change","banco","Banco / Cajero","comercio","Comercio y economía","etiqueta OSM"
"name/brand","cajero autom","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","colpatria","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","daviplata","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","davivienda","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","efecty","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","itau","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"amenity","money_transfer","banco","Banco / Cajero","comercio","Comercio y economía","etiqueta OSM"
"name/brand","nequi","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name/brand","scotiabank","banco","Banco / Cajero","comercio","Comercio y economía","marca reconocida"
"name","barberia","belleza","Peluquería / Belleza","comercio","Comercio y economía","palabra en el nombre"
"shop","beauty","belleza","Peluquería / Belleza","comercio","Comercio y economía","etiqueta OSM"
"shop","cosmetics","belleza","Peluquería / Belleza","comercio","Comercio y economía","etiqueta OSM"
"name","estetica","belleza","Peluquería / Belleza","comercio","Comercio y economía","palabra en el nombre"
"shop","hairdresser","belleza","Peluquería / Belleza","comercio","Comercio y economía","etiqueta OSM"
"shop","massage","belleza","Peluquería / Belleza","comercio","Comercio y economía","etiqueta OSM"
"name","peluqueria","belleza","Peluquería / Belleza","comercio","Comercio y economía","palabra en el nombre"
"shop","perfumery","belleza","Peluquería / Belleza","comercio","Comercio y economía","etiqueta OSM"
"name","salon de belleza","belleza","Peluquería / Belleza","comercio","Comercio y economía","palabra en el nombre"
"name","spa","belleza","Peluquería / Belleza","comercio","Comercio y economía","palabra en el nombre"
"shop","tattoo","belleza","Peluquería / Belleza","comercio","Comercio y economía","etiqueta OSM"
"name","unas","belleza","Peluquería / Belleza","comercio","Comercio y economía","palabra en el nombre"
"amenity","cafe","cafeteria","Cafetería","comercio","Comercio y economía","etiqueta OSM"
"name/brand","cafe de","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"name/brand","cafe quindio","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"name/brand","cafeteria","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"shop","coffee","cafeteria","Cafetería","comercio","Comercio y economía","etiqueta OSM"
"name/brand","crepes waffles","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"name/brand","dunkin","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"name/brand","juan valdez","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"amenity","juice_bar","cafeteria","Cafetería","comercio","Comercio y economía","etiqueta OSM"
"name/brand","mimos","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"name/brand","oma","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"name/brand","starbucks","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"shop","tea","cafeteria","Cafetería","comercio","Comercio y economía","etiqueta OSM"
"name/brand","tostao","cafeteria","Cafetería","comercio","Comercio y economía","marca reconocida"
"tourism","camp_site","camping","Camping / zona de acampada","comercio","Comercio y economía","etiqueta OSM"
"tourism","caravan_site","camping","Camping / zona de acampada","comercio","Comercio y economía","etiqueta OSM"
"name/brand","ccs","centro_comercial","Centro comercial","comercio","Comercio y economía","marca reconocida"
"name/brand","centro comercial","centro_comercial","Centro comercial","comercio","Comercio y economía","marca reconocida"
"shop","department_store","centro_comercial","Centro comercial","comercio","Comercio y economía","etiqueta OSM"
"name/brand","jardin plaza","centro_comercial","Centro comercial","comercio","Comercio y economía","marca reconocida"
"shop","mall","centro_comercial","Centro comercial","comercio","Comercio y economía","etiqueta OSM"
"name/brand","mayorca","centro_comercial","Centro comercial","comercio","Comercio y economía","marca reconocida"
"name/brand","plaza del este","centro_comercial","Centro comercial","comercio","Comercio y economía","marca reconocida"
"name/brand","unicentro","centro_comercial","Centro comercial","comercio","Comercio y economía","marca reconocida"
"name/brand","ventura","centro_comercial","Centro comercial","comercio","Comercio y economía","marca reconocida"
"name/brand","viva","centro_comercial","Centro comercial","comercio","Comercio y economía","marca reconocida"
"name","almacen","comercio_local","Comercio / Servicio local","comercio","Comercio y economía","palabra en el nombre"
"name","comercial","comercio_local","Comercio / Servicio local","comercio","Comercio y economía","palabra en el nombre"
"name","mini mercado","comercio_local","Comercio / Servicio local","comercio","Comercio y economía","palabra en el nombre"
"name","surtido","comercio_local","Comercio / Servicio local","comercio","Comercio y economía","palabra en el nombre"
"shop","rental","comercio_otro","Comercio general","comercio","Comercio y economía","etiqueta OSM"
"shop","yes","comercio_otro","Comercio general","comercio","Comercio y economía","etiqueta OSM"
"shop","appliance","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","bathroom_furnishing","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","building_materials","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"name","cacharreria electrica","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","palabra en el nombre"
"name","deposito de materiales","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","palabra en el nombre"
"shop","doityourself","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","electrical","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"name","ferreteria","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","palabra en el nombre"
"shop","fireplace","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","flooring","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","glaziery","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","hardware","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","hardware_store","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","lighting","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","locksmith","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"name","materiales de construc","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","palabra en el nombre"
"shop","paint","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","plumbing","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","swimming_pool","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","tiles","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","trade","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"shop","window_blind","ferreteria","Ferretería / Materiales","comercio","Comercio y economía","etiqueta OSM"
"name/brand","biomax","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"amenity","charging_station","gasolinera","Estación de servicio","comercio","Comercio y economía","etiqueta OSM"
"name/brand","eds","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","esso","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","estacion de servicio","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"amenity","fuel","gasolinera","Estación de servicio","comercio","Comercio y economía","etiqueta OSM"
"shop","fuel","gasolinera","Estación de servicio","comercio","Comercio y economía","etiqueta OSM"
"name/brand","gazel","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","mobil","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","petrobras","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","primax","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","puma energy","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","terpel","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","texaco","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"name/brand","zeuss","gasolinera","Estación de servicio","comercio","Comercio y economía","marca reconocida"
"tourism","alpine_hut","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"name/brand","aparta hotel","hotel","Hotel / Hospedaje","comercio","Comercio y economía","marca reconocida"
"tourism","apartment","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"tourism","chalet","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"tourism","guest_house","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"name/brand","holiday inn","hotel","Hotel / Hospedaje","comercio","Comercio y economía","marca reconocida"
"name/brand","hospedaje","hotel","Hotel / Hospedaje","comercio","Comercio y economía","marca reconocida"
"name","hospedaje","hotel","Hotel / Hospedaje","comercio","Comercio y economía","palabra en el nombre"
"name/brand","hostal","hotel","Hotel / Hospedaje","comercio","Comercio y economía","marca reconocida"
"name","hostal","hotel","Hotel / Hospedaje","comercio","Comercio y economía","palabra en el nombre"
"tourism","hostel","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"tourism","hotel","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"building","hotel","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"name/brand","hotel","hotel","Hotel / Hospedaje","comercio","Comercio y economía","marca reconocida"
"name","hotel","hotel","Hotel / Hospedaje","comercio","Comercio y economía","palabra en el nombre"
"name/brand","ibis","hotel","Hotel / Hospedaje","comercio","Comercio y economía","marca reconocida"
"amenity","love_hotel","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"tourism","motel","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"name","posada","hotel","Hotel / Hospedaje","comercio","Comercio y economía","palabra en el nombre"
"name","residencia","hotel","Hotel / Hospedaje","comercio","Comercio y economía","palabra en el nombre"
"tourism","wilderness_hut","hotel","Hotel / Hospedaje","comercio","Comercio y economía","etiqueta OSM"
"amenity","internet_cafe","internet_cafe","Café internet","comercio","Comercio y economía","etiqueta OSM"
"shop","dry_cleaning","lavanderia","Lavandería","comercio","Comercio y economía","etiqueta OSM"
"shop","laundry","lavanderia","Lavandería","comercio","Comercio y economía","etiqueta OSM"
"name","lavanderia","lavanderia","Lavandería","comercio","Comercio y economía","palabra en el nombre"
"name","lavaseco","lavanderia","Lavandería","comercio","Comercio y economía","palabra en el nombre"
"shop","alcohol","licorera","Licorera / Estanco","comercio","Comercio y economía","etiqueta OSM"
"shop","beverages","licorera","Licorera / Estanco","comercio","Comercio y economía","etiqueta OSM"
"name","cigarreria","licorera","Licorera / Estanco","comercio","Comercio y economía","palabra en el nombre"
"name","distribuidora de licores","licorera","Licorera / Estanco","comercio","Comercio y economía","palabra en el nombre"
"shop","e-cigarette","licorera","Licorera / Estanco","comercio","Comercio y economía","etiqueta OSM"
"name","estanco","licorera","Licorera / Estanco","comercio","Comercio y economía","palabra en el nombre"
"name","licoreria","licorera","Licorera / Estanco","comercio","Comercio y economía","palabra en el nombre"
"shop","tobacco","licorera","Licorera / Estanco","comercio","Comercio y economía","etiqueta OSM"
"shop","water","licorera","Licorera / Estanco","comercio","Comercio y economía","etiqueta OSM"
"shop","wine","licorera","Licorera / Estanco","comercio","Comercio y economía","etiqueta OSM"
"landuse","commercial","local_comercial","Local comercial","comercio","Comercio y economía","etiqueta OSM"
"building","commercial","local_comercial","Local comercial","comercio","Comercio y economía","etiqueta OSM"
"building","kiosk","local_comercial","Local comercial","comercio","Comercio y economía","etiqueta OSM"
"amenity","marketplace","local_comercial","Local comercial","comercio","Comercio y economía","etiqueta OSM"
"landuse","retail","local_comercial","Local comercial","comercio","Comercio y economía","etiqueta OSM"
"building","retail","local_comercial","Local comercial","comercio","Comercio y economía","etiqueta OSM"
"shop","trade_centre","local_comercial","Local comercial","comercio","Comercio y economía","etiqueta OSM"
"shop","bed","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"shop","carpet","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"name","carpinteria","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","palabra en el nombre"
"name","colchones","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","palabra en el nombre"
"shop","curtain","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"shop","frame","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"shop","furniture","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"shop","houseware","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"shop","interior_decoration","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"shop","kitchen","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"name","muebles","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","palabra en el nombre"
"shop","pottery","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","etiqueta OSM"
"name","tapiceria","muebles_hogar","Muebles y hogar","comercio","Comercio y economía","palabra en el nombre"
"shop","bookmaker","pagos","Corresponsal / Pagos","comercio","Comercio y economía","etiqueta OSM"
"shop","lottery","pagos","Corresponsal / Pagos","comercio","Comercio y economía","etiqueta OSM"
"amenity","mobile_money_agent","pagos","Corresponsal / Pagos","comercio","Comercio y economía","etiqueta OSM"
"shop","money_lender","pagos","Corresponsal / Pagos","comercio","Comercio y economía","etiqueta OSM"
"shop","pawnbroker","pagos","Corresponsal / Pagos","comercio","Comercio y economía","etiqueta OSM"
"amenity","payment_centre","pagos","Corresponsal / Pagos","comercio","Comercio y economía","etiqueta OSM"
"amenity","payment_terminal","pagos","Corresponsal / Pagos","comercio","Comercio y economía","etiqueta OSM"
"building","bakehouse","panaderia","Panadería","comercio","Comercio y economía","etiqueta OSM"
"shop","bakery","panaderia","Panadería","comercio","Comercio y economía","etiqueta OSM"
"name/brand","bimbo","panaderia","Panadería","comercio","Comercio y economía","marca reconocida"
"name","bizcocheria","panaderia","Panadería","comercio","Comercio y economía","palabra en el nombre"
"shop","confectionery","panaderia","Panadería","comercio","Comercio y economía","etiqueta OSM"
"name/brand","kokoriko","panaderia","Panadería","comercio","Comercio y economía","marca reconocida"
"name/brand","panaderia","panaderia","Panadería","comercio","Comercio y economía","marca reconocida"
"name","panaderia","panaderia","Panadería","comercio","Comercio y economía","palabra en el nombre"
"name/brand","pasteleria","panaderia","Panadería","comercio","Comercio y economía","marca reconocida"
"name","pasteleria","panaderia","Panadería","comercio","Comercio y economía","palabra en el nombre"
"shop","pastry","panaderia","Panadería","comercio","Comercio y economía","etiqueta OSM"
"name/brand","reposteria","panaderia","Panadería","comercio","Comercio y economía","marca reconocida"
"name","reposteria","panaderia","Panadería","comercio","Comercio y economía","palabra en el nombre"
"shop","books","papeleria","Papelería / Librería","comercio","Comercio y economía","etiqueta OSM"
"shop","copyshop","papeleria","Papelería / Librería","comercio","Comercio y economía","etiqueta OSM"
"name","fotocopias","papeleria","Papelería / Librería","comercio","Comercio y economía","palabra en el nombre"
"name","libreria","papeleria","Papelería / Librería","comercio","Comercio y economía","palabra en el nombre"
"name","miscelanea","papeleria","Papelería / Librería","comercio","Comercio y economía","palabra en el nombre"
"shop","newsagent","papeleria","Papelería / Librería","comercio","Comercio y economía","etiqueta OSM"
"shop","office_supplies","papeleria","Papelería / Librería","comercio","Comercio y economía","etiqueta OSM"
"name","papeleria","papeleria","Papelería / Librería","comercio","Comercio y economía","palabra en el nombre"
"shop","stationery","papeleria","Papelería / Librería","comercio","Comercio y economía","etiqueta OSM"
"name/brand","archies","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name/brand","asadero","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name","asadero","restaurante","Restaurante","comercio","Comercio y economía","palabra en el nombre"
"name/brand","burger king","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name","comidas rapidas","restaurante","Restaurante","comercio","Comercio y economía","palabra en el nombre"
"name/brand","corral gourmet","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name/brand","dominos","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name/brand","el corral","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"amenity","fast_food","restaurante","Restaurante","comercio","Comercio y economía","etiqueta OSM"
"amenity","food_court","restaurante","Restaurante","comercio","Comercio y economía","etiqueta OSM"
"name/brand","frisby","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name","fritangueria","restaurante","Restaurante","comercio","Comercio y economía","palabra en el nombre"
"name","heladeria","restaurante","Restaurante","comercio","Comercio y economía","palabra en el nombre"
"amenity","ice_cream","restaurante","Restaurante","comercio","Comercio y economía","etiqueta OSM"
"name/brand","kfc","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name","marisqueria","restaurante","Restaurante","comercio","Comercio y economía","palabra en el nombre"
"name/brand","mcdonald","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name/brand","papa john","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name","piquetead","restaurante","Restaurante","comercio","Comercio y economía","palabra en el nombre"
"name/brand","pizzeria","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name","pizzeria","restaurante","Restaurante","comercio","Comercio y economía","palabra en el nombre"
"name/brand","presto","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"amenity","restaurant","restaurante","Restaurante","comercio","Comercio y economía","etiqueta OSM"
"name/brand","restaurante","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name","restaurante","restaurante","Restaurante","comercio","Comercio y economía","palabra en el nombre"
"name/brand","sandwich qbano","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name/brand","subway","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name/brand","sushi","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"name/brand","wok","restaurante","Restaurante","comercio","Comercio y economía","marca reconocida"
"shop","baby_goods","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","bag","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","boutique","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"name","boutique","ropa","Ropa y calzado","comercio","Comercio y economía","palabra en el nombre"
"name","calzado","ropa","Ropa y calzado","comercio","Comercio y economía","palabra en el nombre"
"shop","clothes","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"name","confecciones","ropa","Ropa y calzado","comercio","Comercio y economía","palabra en el nombre"
"shop","fabric","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","fashion_accessories","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","jewelry","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","leather","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"name","lenceria","ropa","Ropa y calzado","comercio","Comercio y economía","palabra en el nombre"
"name","modas","ropa","Ropa y calzado","comercio","Comercio y economía","palabra en el nombre"
"name","sastreria","ropa","Ropa y calzado","comercio","Comercio y economía","palabra en el nombre"
"shop","second_hand","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","sewing","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","shoes","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","tailor","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"shop","watches","ropa","Ropa y calzado","comercio","Comercio y economía","etiqueta OSM"
"name","zapateria","ropa","Ropa y calzado","comercio","Comercio y economía","palabra en el nombre"
"amenity","conference_centre","salon_eventos","Salón de eventos","comercio","Comercio y economía","etiqueta OSM"
"amenity","events_venue","salon_eventos","Salón de eventos","comercio","Comercio y economía","etiqueta OSM"
"amenity","exhibition_centre","salon_eventos","Salón de eventos","comercio","Comercio y economía","etiqueta OSM"
"name/brand","carulla","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"name/brand","consumo","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"name/brand","exito","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"name/brand","jumbo","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"name/brand","la 14","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"name/brand","makro","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"name/brand","metro","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"name/brand","olimpica","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"name/brand","pricesmart","supermercado","Supermercado","comercio","Comercio y economía","marca reconocida"
"shop","supermarket","supermercado","Supermercado","comercio","Comercio y economía","etiqueta OSM"
"building","supermarket","supermercado","Supermercado","comercio","Comercio y economía","etiqueta OSM"
"shop","wholesale","supermercado","Supermercado","comercio","Comercio y economía","etiqueta OSM"
"shop","camera","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"name","celulares","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","palabra en el nombre"
"name","computadores","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","palabra en el nombre"
"shop","computer","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"name","electronica","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","palabra en el nombre"
"shop","electronics","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"shop","hifi","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"shop","mobile_phone","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"shop","photo","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"shop","printer_ink","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","etiqueta OSM"
"name","sistemas","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","palabra en el nombre"
"name","tecnologia","tecnologia","Tecnología / Electrónica","comercio","Comercio y economía","palabra en el nombre"
